timestamp,open,high,low,close,volume
10/23/2018,215.83,219.86,214.7,218.74,24836615
10/22/2018,219.79,223.36,218.94,220.65,28745834
10/19/2018,218.06,221.26,217.43,219.31,33078726
10/18/2018,217.86,219.74,213,216.02,32581315
10/17/2018,222.3,222.64,219.34,221.19,22885397
10/16/2018,218.93,222.99,216.7627,222.15,29183963
10/15/2018,221.16,221.83,217.27,217.36,30791007
10/12/2018,220.42,222.88,216.84,222.11,40337851
10/11/2018,214.52,219.5,212.32,214.45,53124392
10/10/2018,225.46,226.35,216.05,216.36,41990554
10/9/2018,223.64,227.27,222.2462,226.87,26891029
10/8/2018,222.21,224.8,220.2,223.77,29663923
10/5/2018,227.96,228.41,220.58,224.29,33580463
10/4/2018,230.78,232.35,226.73,227.99,32042000
10/3/2018,230.05,233.47,229.78,232.07,28654799
10/2/2018,227.25,230,226.63,229.28,24788170
10/1/2018,227.95,229.42,226.35,227.26,23600802
9/28/2018,224.79,225.84,224.02,225.74,22929364
9/27/2018,223.82,226.44,223.54,224.95,30181227
9/26/2018,221,223.75,219.76,220.42,23984706
9/25/2018,219.75,222.82,219.7,222.19,24554379
9/24/2018,216.82,221.26,216.63,220.79,27693358
9/21/2018,220.78,221.36,217.29,217.66,96246748
9/20/2018,220.24,222.28,219.15,220.03,26608794
9/19/2018,218.5,219.62,215.3,218.37,27123833
9/18/2018,217.79,221.85,217.12,218.24,31571712
9/17/2018,222.15,222.95,217.27,217.88,37195133
9/14/2018,225.75,226.84,222.522,223.84,31999289
9/13/2018,223.52,228.35,222.57,226.41,41706377
9/12/2018,224.94,225,219.84,221.07,49278740
9/11/2018,218.01,224.299,216.56,223.85,35749049
9/10/2018,220.95,221.85,216.47,218.33,39516453
9/7/2018,221.85,225.37,220.71,221.3,37619810
9/6/2018,226.23,227.35,221.3,223.1,34289976
9/5/2018,228.99,229.67,225.1,226.87,33332960
9/4/2018,228.41,229.18,226.63,228.36,27390132
8/31/2018,226.51,228.87,226,227.63,43340134
8/30/2018,223.25,228.26,222.4,225.03,48793824
8/29/2018,220.15,223.49,219.41,222.98,27254804
8/28/2018,219.01,220.54,218.92,219.7,22776766
8/27/2018,217.15,218.74,216.33,217.94,20525117
8/24/2018,216.6,216.9,215.11,216.16,18476356
8/23/2018,214.65,217.05,214.6,215.49,18883224
8/22/2018,214.1,216.36,213.84,215.05,19018131
8/21/2018,216.8,217.19,214.025,215.04,26159755
8/20/2018,218.1,219.18,215.11,215.46,30287695
8/17/2018,213.44,217.95,213.16,217.58,35426997
8/16/2018,211.75,213.8121,211.47,213.32,28500367
8/15/2018,209.22,210.74,208.33,210.24,28807564
8/14/2018,210.155,210.56,208.26,209.75,20748010
8/13/2018,207.7,210.952,207.7,208.87,25890880
8/10/2018,207.36,209.1,206.67,207.53,24611202
8/9/2018,207.28,209.78,207.2,208.88,23492626
8/8/2018,206.05,207.81,204.52,207.25,22525487
8/7/2018,209.32,209.5,206.76,207.11,25587387
8/6/2018,208,209.25,207.07,209.07,25425387
8/3/2018,207.03,208.74,205.4803,207.99,33447396
8/2/2018,200.58,208.38,200.35,207.39,62404012
8/1/2018,199.13,201.76,197.31,201.5,67935716
7/31/2018,190.3,192.14,189.34,190.29,39373038
7/30/2018,191.9,192.2,189.07,189.91,21029535
7/27/2018,194.99,195.19,190.1,190.98,24023972
7/26/2018,194.61,195.96,193.61,194.21,19075964
7/25/2018,193.0602,194.85,192.43,194.82,16826483
7/24/2018,192.45,193.6601,192.05,193,18697898
7/23/2018,190.68,191.96,189.56,191.61,15989365
7/20/2018,191.78,192.43,190.17,191.44,20706042
7/19/2018,189.69,192.55,189.69,191.88,20286752
7/18/2018,191.78,191.8,189.93,190.4,16393381
7/17/2018,189.75,191.87,189.2,191.45,15534523
7/16/2018,191.52,192.65,190.415,190.91,15043110
7/13/2018,191.08,191.84,190.9,191.33,12519792
7/12/2018,189.53,191.41,189.31,191.03,18041131
7/11/2018,188.5,189.7799,187.61,187.88,18831470
7/10/2018,190.71,191.28,190.1801,190.35,15939149
7/9/2018,189.5,190.68,189.3,190.58,19756634
7/6/2018,185.42,188.434,185.2,187.97,17485245
7/5/2018,185.26,186.41,184.28,185.4,16604248
7/3/2018,187.79,187.95,183.54,183.92,13954806
7/2/2018,183.82,187.3,183.42,187.18,17731343
6/29/2018,186.29,187.19,182.91,185.11,22737666
6/28/2018,184.1,186.21,183.8,185.5,17365235
6/27/2018,185.2278,187.28,184.03,184.16,25285328
6/26/2018,182.99,186.53,182.54,184.43,24569201
6/25/2018,183.4,184.92,180.73,182.17,31663096
6/22/2018,186.12,186.15,184.7,184.92,27200447
6/21/2018,187.25,188.35,184.94,185.46,25711898
6/20/2018,186.35,187.2,185.73,186.5,20628701
6/19/2018,185.14,186.33,183.45,185.69,33578455
6/18/2018,187.88,189.22,187.2,188.74,18484865
6/15/2018,190.03,190.16,188.26,188.84,61719160
6/14/2018,191.55,191.57,190.22,190.8,21610074
6/13/2018,192.42,192.88,190.44,190.7,21638393
6/12/2018,191.385,192.611,191.15,192.28,16911141
6/11/2018,191.35,191.97,190.21,191.23,18308460
6/8/2018,191.17,192,189.77,191.7,26656799
6/7/2018,194.14,194.2,192.335,193.46,21347180
6/6/2018,193.63,194.08,191.92,193.98,20933619
6/5/2018,193.065,193.94,192.36,193.31,21565963
6/4/2018,191.635,193.42,191.35,191.83,26266174
